list: """

'Shop Name', 'Opening Times', 'Level'
'LEGO STORE', 'Von 09:30 bis 20:00', 'Level 1'
'LEVI''S', 'Von 09:30 bis 20:00', 'Level 0'
'MANGO', 'Von 09:30 bis 20:00', 'Level 0'
'MARC O‘POLO', 'Von 09:30 bis 20:00', 'Level 1'
'MEDIA MARKT', 'Von 09:30 bis 20:00', 'Level 1'
'MESCH FRISEUR', 'Von 09:30 bis 20:00', 'Level -1'
'MISTER SPEX', 'Von 09:30 bis 20:00', 'Level -1'
'MOBILE POINT', 'Von 09:30 bis 20:00', 'Level -1'
'MORE & MORE', 'Von 09:30 bis 20:00', 'Level 0'
'MÜLLER DROGERIE', 'Von 09:00 bis 20:00', 'Level 0'
'NANU-NANA', 'Von 09:30 bis 20:00', 'Level -1'
'NESPRESSO', 'Von 09:30 bis 20:00', 'Level 1'
'NEUHAUS PRALINEN', 'Von 09:30 bis 20:00', 'EG'
'O2', 'Von 09:30 bis 20:00', 'Level 1'
'OLIVIVA', 'Von 09:30 bis 20:00', 'Level -1'
'OLYMP', 'Von 09:30 bis 20:00', 'Level 1'
'ONLY', 'Von 09:30 bis 20:00', 'Level -1'
'PANDORA', 'Von 09:30 bis 20:00', 'Level 1'
'PAPETERIE BATHELT', 'Von 09:30 bis 20:00', 'Level -1'
'REZEPTION', 'Von 09:30 bis 20:00', 'Level 0'
'S.OLIVER', 'Von 09:30 bis 20:00', 'Level -1'
'SALAMANDER', 'Von 09:30 bis 20:00', 'Level 1'
'SANIPLUS APOTHEKE', 'Von 09:00 bis 20:00', 'Level -1'
'SCHUH- UND SCHLÜSSELDIENST', 'Von 09:30 bis 20:00', 'Level 0'
'SCOTCH & SODA', 'Von 09:30 bis 20:00', 'Level 1'
'SERGENT MAJOR', 'Von 09:30 bis 20:00', 'Level -1'
'SIXT AUTO- VERMIETUNG', 'Von 09:30 bis 20:00', 'Level 0'
'SKINFRIENDS', 'Von 09:30 bis 20:00', 'Level 1'
'SKY', 'Von 09:30 bis 20:00', 'Level -1'
'SNIPES', 'Von 09:30 bis 20:00', 'Level -1'
'SONNENKLAR REISEBÜRO', 'Von 09:30 bis 20:00', 'Level 1'
'SØSTRENE GRENE', 'Von 09:30 bis 20:00', 'Level -1'
'STRELLSON', 'Von 09:30 bis 20:00', 'Level 1'
'STUDIOLINE PHOTOGRAPHY', 'Von 09:30 bis 20:00', 'Level 1'
'SWAROVSKI', 'Von 09:30 bis 20:00', 'Level 0'
'TALLY WEIJL', 'Von 09:30 bis 20:00', 'Level -1'
'TAMARIS', 'Von 09:30 bis 20:00', 'Level -1'
'TEA MOTION', 'Von 09:30 bis 20:00', 'Level 0'
'TESTSTATION', 'Von 09:30 bis 20:00', '-1'
'TOM TAILOR', 'Von 09:30 bis 20:00', 'Level -1'
'TOMMY HILFIGER', 'Von 09:30 bis 20:00', 'Level 0'
'T-PUNKT', 'Von 09:30 bis 20:00', 'Level -1'
'TRETTER', 'Von 09:30 bis 20:00', 'Level 0'
'TRIUMPH', 'Von 09:30 bis 20:00', 'Level 1'
'VANNY NAILS', 'Von 09:30 bis 20:00', 'Level 1'
'VERO MODA | JACK & JONES', 'Von 09:30 bis 20:00', 'Level -1'
'VIVIAN WEISS', 'Von 09:30 bis 20:00', 'Level 1'
'VODAFONE', 'Von 09:30 bis 20:00', 'Level 1'
'VORWERK', 'Von 09:30 bis 20:00', 'Level 0'
'WATERDROP', 'Von 09:30 bis 20:00', 'Level -1'
'WEINHAUS PALLHUBER', 'Von 09:30 bis 20:00', 'Level 1'
'WMF', 'Von 09:30 bis 20:00', 'Level -1'
'ZECHBAUER', 'Von 09:00 bis 20:00', 'Level -1'
'ZERO', 'Von 09:30 bis 20:00', 'Level 0'
'21°C ASIA FEINKOST', 'Von 09:30 bis 20:00', 'Level -1'
'7CAMICIE', 'Von 09:30 bis 20:00', 'Level 0'
"""
