list: """
''Shop Name', 'Opening Times', 'Level', 'Keywords'
'ALDI SÜD', 'Von 09:00 bis 20:00', 'Level -1', 'grocery, supermarket, discount'
'T-PUNKT', 'Von 09:30 bis 20:00', 'Level -1', 'telecommunications, mobile, internet, accessories, services'
'TRETTER', 'Von 09:30 bis 20:00', 'Level 0', 'shoes, footwear, fashion, boots, sandals'
'TRIUMPH', 'Von 09:30 bis 20:00', 'Level 1', 'lingerie, underwear, sleepwear, womenswear, swimwear'
'VANNY NAILS', 'Von 09:30 bis 20:00', 'Level 1', 'nail salon, manicure, pedicure, services, beauty'
'VERO MODA | JACK & JONES', 'Von 09:30 bis 20:00', 'Level -1', 'fashion, clothing, menswear, womenswear, accessories'
'VIVIAN WEISS', 'Von 09:30 bis 20:00', 'Level 1', 'lingerie, womenswear, sleepwear, swimwear, underwear'
'VODAFONE', 'Von 09:30 bis 20:00', 'Level 1', 'telecommunications, mobile, internet, accessories, services'
'VORWERK', 'Von 09:30 bis 20:00', 'Level 0', 'appliances, vacuum cleaners, kitchen, home, cleaning'
'WATERDROP', 'Von 09:30 bis 20:00', 'Level -1', 'water, microdrinks, hydration, accessories, eco-friendly'
'WEINHAUS PALLHUBER', 'Von 09:30 bis 20:00', 'Level 1', 'wine, spirits, beverages, tasting, accessories'
'WMF', 'Von 09:30 bis 20:00', 'Level -1', 'cookware, kitchenware, cutlery, appliances, accessories'
'ZECHBAUER', 'Von 09:00 bis 20:00', 'Level -1', 'tobacco, cigars, cigarettes, accessories, smoking'
'ZERO', 'Von 09:30 bis 20:00', 'Level 0', 'fashion, womenswear, clothing, accessories, shoes'
'21°C ASIA FEINKOST', 'Von 09:30 bis 20:00', 'Level -1', 'Asian food, groceries, snacks, beverages, ingredients'
'7CAMICIE', 'Von 09:30 bis 20:00', 'Level 0', 'shirts, menswear, fashion, accessories, clothing'
"""
